code,url,creator,created_datetime,last_modified_datetime,last_updated_datetime,product_name,brands,origins,stores,countries,countries_tags,countries_en,ingredients_text,ingredients_tags,ingredients_analysis_tags,image_url,image_small_url
00000123,http://world-en.openfoodfacts.org/product/00000123/sauce-sweety-chili-0,kiliweb,2018-08-31T17:53:02Z,2025-01-23T09:29:03Z,2025-02-24T01:13:55Z,Sauce Sweety chili 0%,,,REWE,France,en:france,France,,,,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg,https://images.openfoodfacts.org/images/products/invalid/front_de.14.200.jpg
0000705520537,http://world-en.openfoodfacts.org/product/0000705520537/ja,insectproductadd,2023-09-07T14:19:28Z,2026-01-27T22:26:01Z,2026-01-27T22:26:01Z,,ja!,,REWE,Deutschland,en:germany,Germany,"Roggenmehl 47%, Weizenmehl 45%, getrockneter Sauerteig (Roggenmehl, natürlich fermentiert), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Trockenhefe 2%, Traubenzucker, Gerstenmalzmehl, Säuerungsmittel (Äpfelsäure) Malzextrakt (Gerste, Roggen), Mehlbehand - lungsmittel (Ascorbinsäure). Kann Spuren von Milch, Ei, Sesam, Soja und Lupinen enthalten. Durchschnittliche Nährwerte Energie Fett","en:rye-flour,en:flour,en:cereal-flour,en:wheat-flour,en:cereal,en:wheat,en:sourdough,en:dough,en:iodised-salt,en:salt,bg:суха-мая,en:yeast,en:grape-sugar,en:added-sugar,en:monosaccharide,en:glucose,en:barley-malt-flour,en:barley,en:barley-flour,en:acid,en:malt-extract,en:extract,en:malt,en:vegetable-extract,de:mehlbehand,de:lungsmittel,de:durchschnittliche-nährwerte-energie-fett,de:natürlich-fermentiert,en:e917,en:e296,en:rye,en:e300","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,
0002167861380,http://world-en.openfoodfacts.org/product/0002167861380,smoothie-app,2024-03-21T14:07:04Z,2024-10-04T12:48:56Z,2025-02-21T10:07:02Z,,,,REWE,en:Germany,en:germany,Germany,,,,https://images.openfoodfacts.org/images/products/000/216/786/1380/front_de.3.400.jpg,https://images.openfoodfacts.org/images/products/000/216/786/1380/front_de.3.200.jpg
00028231,http://world-en.openfoodfacts.org/product/00028231/rewe-beste-wahl,shisma,2021-03-23T16:53:25Z,2026-03-26T18:22:52Z,2026-03-26T18:22:52Z,,"REWE Beste Wahl, Rewe",,REWE,en:Germany,en:germany,Germany,"Junger Spinat gehackt, in Portionen, tiefgefroren.","de:junger-spinat-gehackt,de:in-portionen,de:tiefgefroren","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/000/002/8231/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/8231/front_en.4.200.jpg
00056318,http://world-en.openfoodfacts.org/product/00056318/erdbeer-tonka-eis-mit-erdbeer-sauce-eiskramer,hgs,2022-11-20T12:28:06Z,2024-10-04T14:52:59Z,2025-04-02T20:01:30Z,Erdbeer-Tonka-Eis mit Erdbeer-Sauce,Eiskrämer,Italien,rewe,en:Germany,en:germany,Germany,"Erdbeeren (49%), Wasser, Zucker, Glukose, Inulin, Himbeer, Traubenzucker, Fruchtsäure, Pektin, Johannisbrotkernmehl, Guarkernmehl, Tonkabohne (0,08%)","en:strawberry,en:fruit,en:berries,en:water,en:sugar,en:added-sugar,en:disaccharide,en:glucose,en:monosaccharide,en:inulin,en:fiber,en:vegetable-fiber,de:himbeer,en:grape-sugar,de:fruchtsäure,en:e440a,en:carob-seed-flour,en:flour,en:vegetable,en:legume,en:pulse,en:carob-bean-locust-bean,en:e412,en:tonka-bean","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/000/000/005/6318/front_de.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/005/6318/front_de.3.200.jpg
0006012358452,http://world-en.openfoodfacts.org/product/0006012358452/high-protein-quark-rewe-beste-wahl,kiliweb,2022-05-05T08:14:20Z,2026-03-26T17:10:09Z,2026-03-26T17:10:09Z,High Protein quark,REWE Beste Wahl,,REWE,en:fr,en:france,France,,,,https://images.openfoodfacts.org/images/products/000/601/235/8452/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/000/601/235/8452/front_fr.3.200.jpg
0009800860036,http://world-en.openfoodfacts.org/product/0009800860036/nutella-peanut-ferrero,macrofactor,2026-04-05T23:41:29Z,2026-04-27T20:51:49Z,2026-04-27T20:51:49Z,Nutella Peanut,"Ferrero,Nutella",,"Safeway,Edeka,Rewe","Vereinigte Staaten von Amerika,Deutschland","en:germany,en:united-states","Germany,United States",,,,https://images.openfoodfacts.org/images/products/000/980/086/0036/front_en.4.400.jpg,https://images.openfoodfacts.org/images/products/000/980/086/0036/front_en.4.200.jpg
0010000010329,http://world-en.openfoodfacts.org/product/0010000010329/10-nestfrische-landeier-wastlhof,tenlight,2021-08-26T12:24:11Z,2026-03-26T06:32:39Z,2026-03-26T06:32:39Z,10 nestfrische Landeier,Wastlhof,Deutschland,Rewe,"Deutschland,en:germany",en:germany,Germany,10 frische Landeier. Güteklasse A,"de:10-frische-landeier,de:güteklasse-a","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/001/000/001/0329/front_de.4.400.jpg,https://images.openfoodfacts.org/images/products/001/000/001/0329/front_de.4.200.jpg
00163404,http://world-en.openfoodfacts.org/product/00163404/rewe-bio,openfoodfacts-contributors,2022-05-29T19:15:52Z,2022-06-08T09:54:45Z,2025-04-02T21:12:57Z,,REWE Bio,,REWE,en:Germany,en:germany,Germany,,,,https://images.openfoodfacts.org/images/products/000/000/016/3404/front_de.4.400.jpg,https://images.openfoodfacts.org/images/products/000/000/016/3404/front_de.4.200.jpg
0021200001741,http://world-en.openfoodfacts.org/product/0021200001741/mozzarella-45-fett-i-tr-rewe-bio,date-limite-app,2016-09-02T10:30:05Z,2026-03-26T02:25:29Z,2026-03-26T02:25:29Z,Mozzarella 45% Fett i.Tr.,REWE Bio,,Rewe,Deutschland,en:germany,Germany,,,,https://images.openfoodfacts.org/images/products/002/120/000/1741/front_de.4.400.jpg,https://images.openfoodfacts.org/images/products/002/120/000/1741/front_de.4.200.jpg
